,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,hour
3336,04/30/2022,1900-01-01 17:06:00,MANHATTAN,10034.0,40.872383,-73.912674,"(40.872383, -73.912674)",,,5141      BROADWAY,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4523705,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,17
3337,04/30/2022,1900-01-01 17:37:00,MANHATTAN,10033.0,0.0,0.0,"(0.0, 0.0)",WEST 187 STREET,OVERLOOK TERRACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4523704,Sedan,Box Truck,,,,17
3338,03/02/2022,1900-01-01 19:00:00,MANHATTAN,10065.0,40.761486,-73.96061,"(40.761486, -73.96061)",EAST 62 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4508273,Station Wagon/Sport Utility Vehicle,,,,,19
3339,03/01/2022,1900-01-01 16:25:00,MANHATTAN,10065.0,40.766037,-73.96752,"(40.766037, -73.96752)",PARK AVENUE,EAST 64 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4508295,Station Wagon/Sport Utility Vehicle,,,,,16
3340,03/02/2022,1900-01-01 12:37:00,MANHATTAN,10128.0,40.781784,-73.94923,"(40.781784, -73.94923)",,,230       EAST 92 STREET,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4508275,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,12
3341,03/04/2022,1900-01-01 01:55:00,MANHATTAN,10002.0,40.722046,-73.991844,"(40.722046, -73.991844)",,,199       CHRYSTIE STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4508319,Sedan,,,,,1
3342,04/30/2022,1900-01-01 17:46:00,MANHATTAN,10002.0,40.719593,-73.986755,"(40.719593, -73.986755)",RIVINGTON STREET,NORFOLK STREET,,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4524091,Taxi,Bike,,,,17
3343,04/30/2022,1900-01-01 10:30:00,MANHATTAN,10035.0,,,,,,9         Reilly Blvd,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4523393,Station Wagon/Sport Utility Vehicle,,,,,10
3344,04/28/2022,1900-01-01 11:46:00,MANHATTAN,10022.0,,,,52 street,madison avenue,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,4524053,Sedan,Bike,,,,11
3345,03/04/2022,1900-01-01 14:20:00,MANHATTAN,10128.0,40.782005,-73.95167,"(40.782005, -73.95167)",EAST 91 STREET,3 AVENUE,,1,0,0,0,0,0,1,0,Lost Consciousness,Unspecified,,,,4508153,Sedan,Station Wagon/Sport Utility Vehicle,,,,14
3346,03/05/2022,1900-01-01 23:58:00,MANHATTAN,10010.0,40.742317,-73.99144,"(40.742317, -73.99144)",,,60        WEST 23 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4508233,Sedan,Station Wagon/Sport Utility Vehicle,,,,23
3347,03/05/2022,1900-01-01 23:30:00,MANHATTAN,10013.0,40.716682,-73.99741,"(40.716682, -73.99741)",,,174       CANAL STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4508086,Sedan,,,,,23
3348,03/05/2022,1900-01-01 11:04:00,MANHATTAN,10022.0,0.0,0.0,"(0.0, 0.0)",,,337       EAST 50 STREET,0,0,0,0,0,0,0,0,Driver Inexperience,,,,,4507525,Station Wagon/Sport Utility Vehicle,,,,,11
3349,03/05/2022,1900-01-01 07:37:00,MANHATTAN,10024.0,40.784462,-73.97737,"(40.784462, -73.97737)",AMSTERDAM AVENUE,WEST 81 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4507834,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,7
3350,03/05/2022,1900-01-01 20:07:00,MANHATTAN,10012.0,40.72119,-73.99371,"(40.72119, -73.99371)",,,196       BOWERY,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4507700,Sedan,E-Bike,,,,20
3351,03/05/2022,1900-01-01 15:20:00,MANHATTAN,10036.0,40.759403,-73.98511,"(40.759403, -73.98511)",BROADWAY,WEST 47 STREET,,0,0,0,0,0,0,0,0,Obstruction/Debris,Unspecified,,,,4507720,Box Truck,Station Wagon/Sport Utility Vehicle,,,,15
3352,03/03/2022,1900-01-01 19:54:00,MANHATTAN,10035.0,40.80412,-73.93763,"(40.80412, -73.93763)",,,2060      LEXINGTON AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,,,4508178,Station Wagon/Sport Utility Vehicle,,,,,19
3353,03/05/2022,1900-01-01 18:00:00,MANHATTAN,10012.0,40.72032,-73.99405,"(40.72032, -73.99405)",BOWERY,DELANCEY STREET,,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,4507701,Sedan,Sedan,,,,18
3354,02/23/2022,1900-01-01 11:54:00,MANHATTAN,10013.0,40.723118,-74.00624,"(40.723118, -74.00624)",VARICK STREET,GRAND STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4508117,Station Wagon/Sport Utility Vehicle,USPS Mail,,,,11
3355,03/03/2022,1900-01-01 09:00:00,MANHATTAN,10027.0,40.819252,-73.95511,"(40.819252, -73.95511)",,,94        OLD BROADWAY,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4508196,Sedan,Sedan,,,,9
3356,02/21/2022,1900-01-01 13:56:00,MANHATTAN,10040.0,40.860645,-73.92734,"(40.860645, -73.92734)",NAGLE AVENUE,SICKLES STREET,,0,0,0,0,0,0,0,0,Accelerator Defective,Unspecified,Unspecified,Unspecified,,4508173,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,13
3357,03/05/2022,1900-01-01 21:42:00,MANHATTAN,10027.0,40.819374,-73.95933,"(40.819374, -73.95933)",12 AVENUE,WEST 132 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Passing or Lane Usage Improper,Other Vehicular,,,4508204,Sedan,Sedan,Box Truck,,,21
3358,02/25/2022,1900-01-01 09:50:00,MANHATTAN,10027.0,40.812695,-73.954445,"(40.812695, -73.954445)",,,409       WEST 126 STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4508195,Sedan,,,,,9
3359,03/03/2022,1900-01-01 07:05:00,MANHATTAN,10002.0,40.719025,-73.98978,"(40.719025, -73.98978)",DELANCEY STREET,ORCHARD STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4508058,Station Wagon/Sport Utility Vehicle,Sedan,,,,7
3360,02/28/2022,1900-01-01 10:00:00,MANHATTAN,10029.0,40.79726,-73.94053,"(40.79726, -73.94053)",EAST 115 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,,,,4508166,Bus,Station Wagon/Sport Utility Vehicle,,,,10
3361,03/03/2022,1900-01-01 00:11:00,MANHATTAN,10003.0,40.731987,-73.993866,"(40.731987, -73.993866)",,,29        EAST 9 STREET,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4508080,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Bus,,,0
